score,darts_remaining,target_amount,target,target_text
137,2,60,T20,Treble Twenty
137,3,60,T20,Treble Twenty
138,1,60,T20,Treble Twenty
138,2,60,T20,Treble Twenty
138,3,60,T20,Treble Twenty
139,1,57,T19,Treble Nineteen
139,2,57,T19,Treble Nineteen
139,3,57,T19,Treble Nineteen
140,1,60,T20,Treble Twenty
140,2,60,T20,Treble Twenty
140,3,60,T20,Treble Twenty
141,1,60,T20,Treble Twenty
141,2,60,T20,Treble Twenty
141,3,60,T20,Treble Twenty
142,1,60,T20,Treble Twenty
142,2,60,T20,Treble Twenty
142,3,60,T20,Treble Twenty
143,1,60,T20,Treble Twenty
143,2,60,T20,Treble Twenty
143,3,60,T20,Treble Twenty
144,1,60,T20,Treble Twenty
144,2,60,T20,Treble Twenty
144,3,60,T20,Treble Twenty
145,1,60,T20,Treble Twenty
145,2,60,T20,Treble Twenty
145,3,60,T20,Treble Twenty
146,1,60,T20,Treble Twenty
146,2,60,T20,Treble Twenty
146,3,60,T20,Treble Twenty
147,1,60,T20,Treble Twenty
147,2,60,T20,Treble Twenty
147,3,60,T20,Treble Twenty
148,1,60,T20,Treble Twenty
148,2,60,T20,Treble Twenty
148,3,60,T20,Treble Twenty
149,1,60,T20,Treble Twenty
149,2,60,T20,Treble Twenty
149,3,60,T20,Treble Twenty
150,1,60,T20,Treble Twenty
150,2,60,T20,Treble Twenty
150,3,60,T20,Treble Twenty
151,1,60,T20,Treble Twenty
151,2,60,T20,Treble Twenty
151,3,60,T20,Treble Twenty
152,1,60,T20,Treble Twenty
152,2,60,T20,Treble Twenty
152,3,60,T20,Treble Twenty
153,1,60,T20,Treble Twenty
153,2,60,T20,Treble Twenty
153,3,60,T20,Treble Twenty
154,1,60,T20,Treble Twenty
154,2,60,T20,Treble Twenty
154,3,60,T20,Treble Twenty
155,1,60,T20,Treble Twenty
155,2,60,T20,Treble Twenty
155,3,60,T20,Treble Twenty
156,1,60,T20,Treble Twenty
156,2,60,T20,Treble Twenty
156,3,60,T20,Treble Twenty
157,1,60,T20,Treble Twenty
157,2,60,T20,Treble Twenty
